Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Rename Method,_compute_output_shape,compute_output_shape,texar/core/layers.py/MergeLayer,575.0,575.0,['The method _compute_output_shape from the module texar/core/layers.py in class MergeLayer is renamed to compute_output_shape'],268c480aef0c651819913f30fff0d6fb6d379d5c,,,,,,,
Rename Method,_compute_output_shape,compute_output_shape,texar/core/layers.py/SequentialLayer,717.0,717.0,['The method _compute_output_shape from the module texar/core/layers.py in class SequentialLayer is renamed to compute_output_shape'],268c480aef0c651819913f30fff0d6fb6d379d5c,,,,,,,
Add Parameter,_eval_epoch,_eval_epoch,examples/transformer/transformer_main.py,153.0,149.0,['The parameters [ mode ] are added to the method _eval_epoch from the module examples/transformer/transformer_main.py'],26cfff3a4598b565a027f56b3c59aa0339b577ad,,,,,,,
Add Parameter,_train_epoch,_train_epoch,examples/transformer/transformer_main.py,196.0,210.0,['The parameters [ step ] are added to the method _train_epoch from the module examples/transformer/transformer_main.py'],26cfff3a4598b565a027f56b3c59aa0339b577ad,,,,,,,
Add Parameter,_beam_decode,_beam_decode,texar/modules/decoders/transformer_decoders.py/TransformerDecoder,613.0,615.0,['The parameters [ alpha ] are added to the method _beam_decode from the module texar/modules/decoders/transformer_decoders.py in class TransformerDecoder'],26cfff3a4598b565a027f56b3c59aa0339b577ad,,,,,,,
Add Parameter,_build,_build,texar/modules/decoders/transformer_decoders.py/TransformerDecoder,232.0,229.0,['The parameters [ alpha ] are added to the method _build from the module texar/modules/decoders/transformer_decoders.py in class TransformerDecoder'],26cfff3a4598b565a027f56b3c59aa0339b577ad,,,,,,,
Add Parameter,_build,_build,texar/modules/encoders/hierarchical_encoders_new.py/HierarchicalRNNEncoder,124.0,124.0,['The parameters [ medium medium_after_depack ] are added to the method _build from the module texar/modules/encoders/hierarchical_encoders_new.py in class HierarchicalRNNEncoder'],27772ab52eb4ca43c0557209fc78ae5456441f7e,,,,,,,
Add Parameter,_parse,_parse,txtgen/hyperparams.py/HParams,29.0,38.0,['The parameters [ allow_new_hparam ] are added to the method _parse from the module txtgen/hyperparams.py in class HParams'],28a5c5a4c091cd22e4aa893e45440ea59376e575,,,,,,,
Add Parameter,map_ids_to_strs,map_ids_to_strs,texar/utils/utils.py,574.0,602.0,['The parameters [ strip_bos ] are added to the method map_ids_to_strs from the module texar/utils/utils.py'],29088659d5d09116580ac67852eb08406629ee13,,,,,,,
Pull Up Method,_shuffle_dataset,_shuffle_dataset,,,, method _shuffle_dataset from the module texar/data/data/text_data_base.py in class TextDataBase was moved to class DataBase of module texar/data/data/data_base.py ,297047cae73728e5f391b558b64aaa94e2a5c323,,,,texar/data/data/text_data_base.py/TextDataBase,texar/data/data/data_base.py/DataBase,61.0,63.0
