Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Rename Method,clear,reset,elfi/client.py/BatchHandler,70.0,80.0,['The method clear from the module elfi/client.py in class BatchHandler is renamed to reset'],158b0bc791b99833c96d026c96bf39b71c55879c,,,,,,,
Remove Parameter,submit,submit,elfi/client.py/BatchHandler,77.0,89.0,['The parameters [ batch_index ] of the method submit from the module elfi/client.py in class BatchHandler is/are removed'],158b0bc791b99833c96d026c96bf39b71c55879c,,,,,,,
Change/Rename Parameter,__init__,__init__,elfi/methods/bo/acquisition.py/RandMaxVar,495.0,496.0,['The parameters [ sigma_proposals_metropolis ] of the method __init__ from the module elfi/methods/bo/acquisition.py in class RandMaxVar are changed/renamed to [sigma_proposals]'],173cebb584746ec8d86974b4fc05d90876dccccf,,,,,,,
Change/Rename Parameter,__init__,__init__,elfi/methods/bo/acquisition.py/ExpIntVar,638.0,633.0,['The parameters [ sigma_proposals_metropolis ] of the method __init__ from the module elfi/methods/bo/acquisition.py in class ExpIntVar are changed/renamed to [sigma_proposals]'],173cebb584746ec8d86974b4fc05d90876dccccf,,,,,,,
Rename Method,evaluate_grad,evaluate_gradient,elfi/methods/bo/acquisition.py/AcquisitionBase,60.0,67.0,['The method evaluate_grad from the module elfi/methods/bo/acquisition.py in class AcquisitionBase is renamed to evaluate_gradient'],193cd85501933f5b4a89cd265b03a619b6c5f4b8,,,,,,,
Rename Method,evaluate_grad,evaluate_gradient,elfi/methods/bo/acquisition.py/LCBSC,165.0,180.0,['The method evaluate_grad from the module elfi/methods/bo/acquisition.py in class LCBSC is renamed to evaluate_gradient'],193cd85501933f5b4a89cd265b03a619b6c5f4b8,,,,,,,
Change/Rename Parameter,MA2,MA2,examples/ma2.py,10.0,8.0,['The parameters [ batch_size random_state ] of the method MA2 from the module examples/ma2.py are changed/renamed to [n_sim prng]'],1f97f7c318ba607c294bd2dfc34aeb91ab593d72,,,,,,,
Rename Method,discrepancy,distance,examples/ma2.py,32.0,31.0,['The method discrepancy from the module examples/ma2.py is renamed to distance'],1f97f7c318ba607c294bd2dfc34aeb91ab593d72,,,,,,,
Extract Method,_init_new_round,_update_round_info,elfi/methods/inference/samplers.py/SMC,,, The method _update_round_info from the module elfi/methods/inference/samplers.py in class SMC is extracted from method _init_new_round from the module elfi/methods/inference/samplers.py in class SMC ,204b5a07cae0cc6298d1cf9bc66e36414e54118b,,,,,"(497,461)",486.0,"[500.0, 501.0, 503.0, 505.0, 506.0]"
Rename Method,test_adaptivesmc,test_adaptivethresholdsmc,tests/functional/test_inference.py,93.0,105.0,['The method test_adaptivesmc from the module tests/functional/test_inference.py is renamed to test_adaptivethresholdsmc'],204b5a07cae0cc6298d1cf9bc66e36414e54118b,,,,,,,
Rename Method,test_smc,test_smc_with_thresholds,tests/functional/test_inference.py,78.0,78.0,['The method test_smc from the module tests/functional/test_inference.py is renamed to test_smc_with_thresholds'],204b5a07cae0cc6298d1cf9bc66e36414e54118b,,,,,,,
Rename Method,gelman_rubin,gelman_rubin_statistic,elfi/methods/mcmc.py,66.0,66.0,['The method gelman_rubin from the module elfi/methods/mcmc.py is renamed to gelman_rubin_statistic'],246bb80c0c4a555b61e054b4a3f30d57d9eaac80,,,,,,,
Add Parameter,__init__,__init__,elfi/store.py/BatchArrayStore,239.0,268.0,['The parameters [ n_batches ] are added to the method __init__ from the module elfi/store.py in class BatchArrayStore'],2551a0d71a0273f5fd26dc3fbd0443c5464b15ec,,,,,,,
Extract Method,update,_get_gp,abcpy/bo/gpy_model.py/GpyModel,,, The method _get_gp from the module abcpy/bo/gpy_model.py in class GpyModel is extracted from method update from the module abcpy/bo/gpy_model.py in class GpyModel ,2569000cefffaf43831e807850c583f0f7172524,,,,,"(56,79)",53.0,[71.0]
Extract Method,update,_check_input,abcpy/bo/gpy_model.py/GpyModel,,, The method _check_input from the module abcpy/bo/gpy_model.py in class GpyModel is extracted from method update from the module abcpy/bo/gpy_model.py in class GpyModel ,2569000cefffaf43831e807850c583f0f7172524,,,,,"(56,79)",65.0,"[61.0, 62.0, 63.0, 64.0, 65.0, 66.0, 67.0, 68.0]"
Rename Method,get,get_result,elfi/client.py/ClientBase,178.0,178.0,['The method get from the module elfi/client.py in class ClientBase is renamed to get_result'],269f4f4851f3745179d067a22f665dbed0f0c782,,,,,,,
Rename Method,get,get_result,elfi/clients/ipyparallel.py/Client,36.0,36.0,['The method get from the module elfi/clients/ipyparallel.py in class Client is renamed to get_result'],269f4f4851f3745179d067a22f665dbed0f0c782,,,,,,,
Rename Method,get,get_result,elfi/clients/multiprocessing.py/Client,58.0,58.0,['The method get from the module elfi/clients/multiprocessing.py in class Client is renamed to get_result'],269f4f4851f3745179d067a22f665dbed0f0c782,,,,,,,
Rename Method,get,get_result,elfi/clients/native.py/Client,33.0,33.0,['The method get from the module elfi/clients/native.py in class Client is renamed to get_result'],269f4f4851f3745179d067a22f665dbed0f0c782,,,,,,,
