Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,__init__,__init__,models/resnext.py/ResNeXt,40.0,40.0,['The parameters [ no_max_pool ] are added to the method __init__ from the module models/resnext.py in class ResNeXt'],dc00752d3ad585cb44eefe7cecf86bfc09890e25,,,
Change/Rename Parameter,__init__,__init__,models/densenet.py/DenseNet,84.0,84.0,['The parameters [ sample_duration ] of the method __init__ from the module models/densenet.py in class DenseNet are changed/renamed to [conv1_t_stride]'],dc83da1abf2009c36603af3fa5c719cbccd10d59,,,
Change/Rename Parameter,__init__,__init__,models/resnet.py/ResNet,99.0,102.0,['The parameters [ sample_duration ] of the method __init__ from the module models/resnet.py in class ResNet are changed/renamed to [conv1_t_stride]'],dc83da1abf2009c36603af3fa5c719cbccd10d59,,,
Change/Rename Parameter,__init__,__init__,models/resnext.py/ResNeXt,41.0,40.0,['The parameters [ sample_duration ] of the method __init__ from the module models/resnext.py in class ResNeXt are changed/renamed to [conv1_t_stride]'],dc83da1abf2009c36603af3fa5c719cbccd10d59,,,
Add Parameter,__init__,__init__,models/resnet.py/ResNet,105.0,99.0,['The parameters [ n_classes ] are added to the method __init__ from the module models/resnet.py in class ResNet'],deb96ba716906aa187c714654734bb0a5604de58,,,
Add Parameter,__init__,__init__,models/resnext.py/ResNeXt,82.0,36.0,['The parameters [ conv1_t_size n_classes ] are added to the method __init__ from the module models/resnext.py in class ResNeXt'],deb96ba716906aa187c714654734bb0a5604de58,,,
Rename Method,resnet101,resnext101,models/resnext.py,182.0,78.0,['The method resnet101 from the module models/resnext.py is renamed to resnext101'],deb96ba716906aa187c714654734bb0a5604de58,,,
Rename Method,resnet152,resnext152,models/resnext.py,189.0,86.0,['The method resnet152 from the module models/resnext.py is renamed to resnext152'],deb96ba716906aa187c714654734bb0a5604de58,,,
Rename Method,resnet50,resnext50,models/resnext.py,175.0,70.0,['The method resnet50 from the module models/resnext.py is renamed to resnext50'],deb96ba716906aa187c714654734bb0a5604de58,,,
Add Parameter,resnet50,resnet50,models/wide_resnet.py,159.0,12.0,['The parameters [ k ] are added to the method resnet50 from the module models/wide_resnet.py'],deb96ba716906aa187c714654734bb0a5604de58,,,
Add Parameter,convert_kinetics_csv_to_json,convert_kinetics_csv_to_json,util_scripts/kinetics_json.py,41.0,41.0,['The parameters [ video_type ] are added to the method convert_kinetics_csv_to_json from the module util_scripts/kinetics_json.py'],e18326511513976d2a6e1182e1455ed171fd3d4e,,,
Add Parameter,class_process,class_process,util_scripts/generate_video_jpgs.py,51.0,51.0,['The parameters [ size ] are added to the method class_process from the module util_scripts/generate_video_jpgs.py'],ee327a90214ed56631ca322d07a0ddbd103b61cc,,,
Add Parameter,video_process,video_process,util_scripts/generate_video_jpgs.py,8.0,8.0,['The parameters [ size ] are added to the method video_process from the module util_scripts/generate_video_jpgs.py'],fc138a3a9379509ba4c0aaa7b27f11edf51fb399,,,
