Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,gen_examples,gen_examples,pycorrector/seq2seq/data_reader.py,105.0,107.0,['The parameters [ max_length ] are added to the method gen_examples from the module pycorrector/seq2seq/data_reader.py'],68d1306efe51e59a83d7cb551a7c83cee70acb7b,,,,,,,
Add Parameter,prepare_data,prepare_data,pycorrector/seq2seq/data_reader.py,93.0,93.0,['The parameters [ max_length ] are added to the method prepare_data from the module pycorrector/seq2seq/data_reader.py'],68d1306efe51e59a83d7cb551a7c83cee70acb7b,,,,,,,
Rename Method,evaluate_model,evaluate_seq2seq_model,pycorrector/seq2seq/train.py,28.0,31.0,['The method evaluate_model from the module pycorrector/seq2seq/train.py is renamed to evaluate_seq2seq_model'],68d1306efe51e59a83d7cb551a7c83cee70acb7b,,,,,,,
Add Parameter,train,train,pycorrector/seq2seq/train.py,103.0,174.0,['The parameters [ arch max_length ] are added to the method train from the module pycorrector/seq2seq/train.py'],68d1306efe51e59a83d7cb551a7c83cee70acb7b,,,,,,,
Rename Method,train_model,train_seq2seq_model,pycorrector/seq2seq/train.py,54.0,57.0,['The method train_model from the module pycorrector/seq2seq/train.py is renamed to train_seq2seq_model'],68d1306efe51e59a83d7cb551a7c83cee70acb7b,,,,,,,
Remove Parameter,_get_custom_confusion_dict,_get_custom_confusion_dict,pycorrector/en_spell.py/EnSpell,109.0,109.0,['The parameters [ self ] of the method _get_custom_confusion_dict from the module pycorrector/en_spell.py in class EnSpell is/are removed'],6d5506d16460c4da50a09a9d92fecbc9c8c36b14,,,,,,,
Remove Parameter,known,known,pycorrector/en_spell.py/EnSpell,68.0,68.0,['The parameters [ limit_count ] of the method known from the module pycorrector/en_spell.py in class EnSpell is/are removed'],6d5506d16460c4da50a09a9d92fecbc9c8c36b14,,,,,,,
Remove Parameter,make_loaders,make_loaders,pycorrector/macbert/reader.py,54.0,53.0,['The parameters [ test_batch_size ] of the method make_loaders from the module pycorrector/macbert/reader.py is/are removed'],6d5506d16460c4da50a09a9d92fecbc9c8c36b14,,,,,,,
Rename Class,CorrectionModel,CorrectionNetwork,pycorrector/macbert/softmaskedbert4csc.py,,, class CorrectionModel was renamed to class CorrectionNetwork ,6d5506d16460c4da50a09a9d92fecbc9c8c36b14,,,,,,,
Inline Method,main,train,pycorrector/macbert/train.py,,, The method train from the module pycorrector/macbert/train.py is inlined into method main from the module pycorrector/macbert/train.py ,6d5506d16460c4da50a09a9d92fecbc9c8c36b14,,,,,"(62,54)",24.0,"[65.0, 92.0, 94.0, 95.0, 97.0, 98.0, 101.0, 102.0, 107.0, 108.0, 109.0, 110.0]"
