Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Rename Method,_aggregate_batch,aggregate_batch,tensorpack/dataflow/common.py/BatchData,148.0,155.0,['The method _aggregate_batch from the module tensorpack/dataflow/common.py in class BatchData is renamed to aggregate_batch'],50ff9036c58ef60ee1f495472476fa03c06bb362,,,,,,,
Add Parameter,send_dataflow_zmq,send_dataflow_zmq,tensorpack/dataflow/remote.py,20.0,20.0,['The parameters [ format ] are added to the method send_dataflow_zmq from the module tensorpack/dataflow/remote.py'],b5c5a9448d26ec3cbabd39aacc41f0e79a1891a2,,,,,,,
Rename Method,detect_one_image,predict_image,examples/FasterRCNN/eval.py,57.0,57.0,['The method detect_one_image from the module examples/FasterRCNN/eval.py is renamed to predict_image'],754e17fca9d8a7c3df688303ee2f594bcc8f9e9d,,,,,,,
Rename Method,_build_coco_predictor,_build_predictor,examples/FasterRCNN/train.py/EvalCallback,445.0,440.0,['The method _build_coco_predictor from the module examples/FasterRCNN/train.py in class EvalCallback is renamed to _build_predictor'],754e17fca9d8a7c3df688303ee2f594bcc8f9e9d,,,,,,,
Rename Method,offline_evaluate,do_evaluate,examples/FasterRCNN/train.py,378.0,377.0,['The method offline_evaluate from the module examples/FasterRCNN/train.py is renamed to do_evaluate'],754e17fca9d8a7c3df688303ee2f594bcc8f9e9d,,,,,,,
Rename Method,predict,do_predict,examples/FasterRCNN/train.py,400.0,395.0,['The method predict from the module examples/FasterRCNN/train.py is renamed to do_predict'],754e17fca9d8a7c3df688303ee2f594bcc8f9e9d,,,,,,,
Rename Method,visualize,do_visualize,examples/FasterRCNN/train.py,326.0,325.0,['The method visualize from the module examples/FasterRCNN/train.py is renamed to do_visualize'],754e17fca9d8a7c3df688303ee2f594bcc8f9e9d,,,,,,,
Add Parameter,__init__,__init__,tensorpack/graph_builder/training.py/SyncMultiGPUReplicatedBuilder,184.0,191.0,['The parameters [ use_nccl ] are added to the method __init__ from the module tensorpack/graph_builder/training.py in class SyncMultiGPUReplicatedBuilder'],e1a879d71330406344051f70c4cbe18ac0c0054f,,,,,,,
Add Parameter,__init__,__init__,tensorpack/train/trainers.py/SyncMultiGPUTrainerReplicated,140.0,140.0,['The parameters [ use_nccl ] are added to the method __init__ from the module tensorpack/train/trainers.py in class SyncMultiGPUTrainerReplicated'],e1a879d71330406344051f70c4cbe18ac0c0054f,,,,,,,
Remove Parameter,get_all_anchors,get_all_anchors,examples/FasterRCNN/data.py,56.0,56.0,['The parameters [ stride sizes ] of the method get_all_anchors from the module examples/FasterRCNN/data.py is/are removed'],8f10b0f8580293721b07a40e3e9d4c6d82398790,,,,,,,
Remove Parameter,get_all_anchors_fpn,get_all_anchors_fpn,examples/FasterRCNN/data.py,106.0,103.0,['The parameters [ strides sizes ] of the method get_all_anchors_fpn from the module examples/FasterRCNN/data.py is/are removed'],8f10b0f8580293721b07a40e3e9d4c6d82398790,,,,,,,
Change/Rename Parameter,worker,worker,tensorpack/callbacks/prof.py/GPUUtilizationTracker,99.0,99.0,['The parameters [ self ] of the method worker from the module tensorpack/callbacks/prof.py in class GPUUtilizationTracker are changed/renamed to [devices]'],8f10b0f8580293721b07a40e3e9d4c6d82398790,,,,,,,
Add Parameter,__init__,__init__,tensorpack/utils/concurrency.py/LoopThread,60.0,60.0,['The parameters [ pausable ] are added to the method __init__ from the module tensorpack/utils/concurrency.py in class LoopThread'],c12cf88b483af3a4d115c74dddd2d7b1b596e191,,,,,,,
Change/Rename Parameter,__init__,__init__,tensorpack/dataflow/common.py/BatchData,59.0,59.0,['The parameters [ allow_list ] of the method __init__ from the module tensorpack/dataflow/common.py in class BatchData are changed/renamed to [use_list]'],feaae168eb5cbcbd1345166301b460160c04abf8,,,,,,,
Change/Rename Parameter,_aggregate_batch,_aggregate_batch,tensorpack/dataflow/common.py/BatchData,104.0,104.0,['The parameters [ allow_list ] of the method _aggregate_batch from the module tensorpack/dataflow/common.py in class BatchData are changed/renamed to [use_list]'],feaae168eb5cbcbd1345166301b460160c04abf8,,,,,,,
Rename Method,Deconv2D,Conv2DTranspose,tensorpack/models/conv2d.py,120.0,120.0,['The method Deconv2D from the module tensorpack/models/conv2d.py is renamed to Conv2DTranspose'],fe33c8338c58b5aca2f13463de827cbd582b6bf1,,,,,,,
Remove Parameter,BatchNorm,BatchNorm,tensorpack/models/batch_norm.py,63.0,63.0,['The parameters [ training momentum epsilon center scale beta_initializer gamma_initializer virtual_batch_size data_format ema_update sync_statistics internal_update ] of the method BatchNorm from the module tensorpack/models/batch_norm.py is/are removed'],07e464d81392c4e918e8c0f394793449866b0166,,,,,,,
Remove Parameter,BatchRenorm,BatchRenorm,tensorpack/models/batch_norm.py,370.0,370.0,['The parameters [ momentum epsilon center scale gamma_initializer data_format ] of the method BatchRenorm from the module tensorpack/models/batch_norm.py is/are removed'],07e464d81392c4e918e8c0f394793449866b0166,,,,,,,
Remove Parameter,InstanceNorm,InstanceNorm,tensorpack/models/layer_norm.py,66.0,74.0,['The parameters [ use_affine gamma_init data_format ] of the method InstanceNorm from the module tensorpack/models/layer_norm.py is/are removed'],07e464d81392c4e918e8c0f394793449866b0166,,,,,,,
Remove Parameter,LayerNorm,LayerNorm,tensorpack/models/layer_norm.py,13.0,15.0,['The parameters [ use_bias use_scale gamma_init data_format ] of the method LayerNorm from the module tensorpack/models/layer_norm.py is/are removed'],07e464d81392c4e918e8c0f394793449866b0166,,,,,,,
Add Parameter,__init__,__init__,tensorpack/graph_builder/input_source.py/FeedInput,68.0,68.0,['The parameters [ infinite ] are added to the method __init__ from the module tensorpack/graph_builder/input_source.py in class FeedInput'],5b3102908ca57d6e830a902da1fa7e04097cc0e1,,,,,,,
Remove Parameter,dump_dataflow_images,dump_dataflow_images,tensorpack/utils/viz.py,182.0,182.0,['The parameters [ exit_after ] of the method dump_dataflow_images from the module tensorpack/utils/viz.py is/are removed'],562f0906afe5e71bb0b349cfdc681212e71dfd0e,,,,,,,
Inline Method,_trigger,_summary_run_alone,tensorpack/callbacks/summary.py/MergeAllSummaries,,, The method _summary_run_alone from the module tensorpack/callbacks/summary.py in class MergeAllSummaries is inlined into method _trigger from the module tensorpack/callbacks/summary.py in class MergeAllSummaries ,0fda5f713ecdacc84445b87f9069ad07ca037113,"(81,73)",73.0,"[74.0, 75.0]",,,,
Rename Method,get_time_str,_get_time_str,tensorpack/utils/logger.py,44.0,44.0,['The method get_time_str from the module tensorpack/utils/logger.py is renamed to _get_time_str'],9ec5ca49cbf32804373ccfd9459519e1d131bfc3,,,,,,,
Change/Rename Parameter,auto_set_dir,auto_set_dir,tensorpack/utils/logger.py,104.0,108.0,['The parameters [ overwrite_setting ] of the method auto_set_dir from the module tensorpack/utils/logger.py are changed/renamed to [overwrite]'],9ec5ca49cbf32804373ccfd9459519e1d131bfc3,,,,,,,
Add Parameter,__init__,__init__,tensorpack/callbacks/inference_runner.py/DataParallelInferenceRunner,181.0,186.0,['The parameters [ tower_name ] are added to the method __init__ from the module tensorpack/callbacks/inference_runner.py in class DataParallelInferenceRunner'],e61946b2e9db69c8dfacb58726c6e0bb569613a3,,,,,,,
Add Parameter,__init__,__init__,tensorpack/train/config.py/TrainConfig,23.0,23.0,['The parameters [ dataset data model optimizer callbacks session_config session_init starting_epoch step_per_epoch max_epoch nr_tower tower predict_tower ] are added to the method __init__ from the module tensorpack/train/config.py in class TrainConfig'],069c0b9ca0026b0b780d79937166a4e55af9530f,,,,,,,
Rename Class,Model,ResNet_Cifar,examples/ResNet/cifar10-preact18-mixup.py,,, class Model was renamed to class ResNet_Cifar ,e086f05a0f77206f1a6b872f079abf5211b35844,,,,,,,
Rename Class,NonDecreasingStatMonitorParamSetter,StatMonitorParamSetter,tensorpack/callbacks/param.py,,, class NonDecreasingStatMonitorParamSetter was renamed to class StatMonitorParamSetter ,6a2425d0d61d8ccf814309869bd38f92306eca78,,,,,,,
Add Parameter,get_config,get_config,examples/SimilarityLearning/mnist-embeddings.py,132.0,133.0,['The parameters [ algorithm_name ] are added to the method get_config from the module examples/SimilarityLearning/mnist-embeddings.py'],ad3719290d6cbc8274b2635de95b5149d9874386,,,,,,,
Add Parameter,contrastive_loss,contrastive_loss,tensorpack/tfutils/symbolic_functions.py,216.0,216.0,['The parameters [ scope ] are added to the method contrastive_loss from the module tensorpack/tfutils/symbolic_functions.py'],ad3719290d6cbc8274b2635de95b5149d9874386,,,,,,,
Add Parameter,cosine_loss,cosine_loss,tensorpack/tfutils/symbolic_functions.py,259.0,259.0,['The parameters [ scope ] are added to the method cosine_loss from the module tensorpack/tfutils/symbolic_functions.py'],ad3719290d6cbc8274b2635de95b5149d9874386,,,,,,,
